Location,Time,Trt,ai,SOA,rep,EU,Overall,Grass,Waterhemp
Waupaca,28 DAT,Dual II Magnum,S-metolachlor,15,2,201,95,100,100
Waupaca,28 DAT,Valor SX,flumioxazin,14,2,202,95,100,100
Waupaca,28 DAT,Authority First,cloransulam-methyl + sulfentrazone,2 + 14,2,203,95,100,100
Waupaca,28 DAT,Zidua,pyroxasulfone,15,2,204,95,100,100
Waupaca,28 DAT,Warrant,acetochlor,15,2,205,100,100,100
Waupaca,28 DAT,Outlook,dimethenamid-P,15,2,206,100,100,100
Waupaca,28 DAT,Spartan,sulfentrazone,14,2,207,100,100,100
Waupaca,28 DAT,Pursuit,imazethapyr,2,2,208,100,100,100
Waupaca,28 DAT,Authority Assist,imazethapyr + sulfentrazone,2 + 14,2,209,95,100,100
Waupaca,28 DAT,Broadaxe XC,sulfentrazone + S-metolachlor,14 + 15,2,210,95,100,100
Waupaca,28 DAT,Check,Check,Check,2,211,1,1,1
Waupaca,28 DAT,Tricor DF,metribuzin,5,2,212,100,100,100
Waupaca,28 DAT,Fierce,flumioxazin + pyroxasulfone,14 + 15,2,213,95,100,100
Waupaca,28 DAT,Warrant,acetochlor,15,3,301,95,100,100
Waupaca,28 DAT,Outlook,dimethenamid-P,15,3,302,95,100,100
Waupaca,28 DAT,Spartan,sulfentrazone,14,3,303,95,100,100
Waupaca,28 DAT,Fierce,flumioxazin + pyroxasulfone,14 + 15,3,304,95,100,100
Waupaca,28 DAT,Authority Assist,imazethapyr + sulfentrazone,2 + 14,3,305,95,100,100
Waupaca,28 DAT,Dual II Magnum,S-metolachlor,15,3,306,95,100,100
Waupaca,28 DAT,Check,Check,Check,3,307,1,1,1
Waupaca,28 DAT,Broadaxe XC,sulfentrazone + S-metolachlor,14 + 15,3,308,95,100,100
Waupaca,28 DAT,Valor SX,flumioxazin,14,3,309,95,100,100
Waupaca,28 DAT,Tricor DF,metribuzin,5,3,310,100,100,100
Waupaca,28 DAT,Zidua,pyroxasulfone,15,3,311,95,100,100
Waupaca,28 DAT,Pursuit,imazethapyr,2,3,312,95,100,100
Waupaca,28 DAT,Authority First,cloransulam-methyl + sulfentrazone,2 + 14,3,313,100,100,100
Waupaca,28 DAT,Authority Assist,imazethapyr + sulfentrazone,2 + 14,4,401,95,100,100
Waupaca,28 DAT,Broadaxe XC,sulfentrazone + S-metolachlor,14 + 15,4,402,95,100,100
Waupaca,28 DAT,Warrant,acetochlor,15,4,403,95,100,100
Waupaca,28 DAT,Valor SX,flumioxazin,14,4,404,95,100,100
Waupaca,28 DAT,Check,Check,Check,4,405,1,1,1
Waupaca,28 DAT,Fierce,flumioxazin + pyroxasulfone,14 + 15,4,406,95,100,100
Waupaca,28 DAT,Tricor DF,metribuzin,5,4,407,99,100,100
Waupaca,28 DAT,Authority First,cloransulam-methyl + sulfentrazone,2 + 14,4,408,99,100,100
Waupaca,28 DAT,Dual II Magnum,S-metolachlor,15,4,409,95,100,100
Waupaca,28 DAT,Spartan,sulfentrazone,14,4,410,95,100,100
Waupaca,28 DAT,Pursuit,imazethapyr,2,4,411,95,100,100
Waupaca,28 DAT,Zidua,pyroxasulfone,15,4,412,95,100,100
Waupaca,28 DAT,Outlook,dimethenamid-P,15,4,413,95,100,100
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
